,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
0,132643,FBC Penguins Praha,Florbal Riders,1,7,Lose,sobota 17.10.2015; TJ Sokol Kobylisy,počet diváků: 0,začátek 10:10; konec ,Utkání: 3XM92015/2016-A014; 2. kolo; PH+SČ třída mužů,"části: 0:4, 0:1, 1:2, střely na branku: 0:0","rozhodčí: Dunda Petr, Flek Václav",delegát: ,                  Tomáš Weisser,                  Michal Lebeda,                  Michal Lebeda,2015/2016,17.10.2015, TJ Sokol Kobylisy,sobota, Dunda Petr, Flek Václav, PH+SČ třída mužů
1,132644,FBC Penguins Praha,FBC JELENI UNHOŠŤ B,3,7,Lose,sobota 17.10.2015; TJ Sokol Kobylisy,počet diváků: 0,začátek 11:20; konec ,Utkání: 3XM92015/2016-A015; 2. kolo; PH+SČ třída mužů,"části: 2:1, 2:2, 3:0, střely na branku: 0:0","rozhodčí: Trnobranský Karel, Trejbal Patrik",delegát: Drápalová Vendula,"Empty DataFrame
Columns: [Player]
Index: []",                  Jan Lintymer,                  Jan Lintymer,2015/2016,17.10.2015, TJ Sokol Kobylisy,sobota, Trnobranský Karel, Trejbal Patrik, PH+SČ třída mužů
2,133941,FBC Penguins Praha,"FBC Young Boys ""B""",6,1,Win,neděle 01.11.2015; SH Stochov,počet diváků: 0,začátek 11:20; konec ,Utkání: 3XM92015/2016-A033; 3. kolo; PH+SČ třída mužů,"části: 1:0, 3:1, 2:0, střely na branku: 0:0","rozhodčí: Tuma Vlastimil, Trejbal Patrik",delegát: ,                  Tomáš Weisser  Jakub Hruška,                    Jaroslav Hluší,                  Tomáš Weisser  Jakub Hruška,2015/2016,01.11.2015, SH Stochov,neděle, Tuma Vlastimil, Trejbal Patrik, PH+SČ třída mužů
3,133943,FBC Penguins Praha,FBC Kralupy n/V C,4,11,Win,neděle 01.11.2015; SH Stochov,počet diváků: 0,začátek 13:40; konec ,Utkání: 3XM92015/2016-A035; 3. kolo; PH+SČ třída mužů,"části: 2:2, 3:1, 6:1, střely na branku: 0:0","rozhodčí: Tuma Vlastimil, Šubrt Jan",delegát: ,                    Vojtěch Brávek,                  David Blahoš,                  David Blahoš,2015/2016,01.11.2015, SH Stochov,neděle, Tuma Vlastimil, Šubrt Jan, PH+SČ třída mužů
4,136045,FBC Penguins Praha,IBK Kubánský Klan C,2,3,Lose,sobota 14.11.2015; SH Čakovice,počet diváků: 0,začátek 11:20; konec ,Utkání: 3XM92015/2016-A039; 4. kolo; PH+SČ třída mužů,"části: 1:0, 0:0, 1:3, střely na branku: 0:0","rozhodčí: Stránský Čeněk, Jícha Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                 Petr Kohout,                 Petr Kohout,2015/2016,14.11.2015, SH Čakovice,sobota, Stránský Čeněk, Jícha Ondřej, PH+SČ třída mužů
5,136061,FBC Penguins Praha,FBC Slavia Praha B,1,8,Lose,sobota 14.11.2015; SH Čakovice,počet diváků: 0,začátek 13:40; konec ,Utkání: 3XM92015/2016-A041; 4. kolo; PH+SČ třída mužů,"části: 2:0, 2:0, 4:1, střely na branku: 0:0","rozhodčí: Jícha Ondřej, Krupička Jan",delegát: ,                  Kryštof Hoch,                 Daniel Frič,                 Daniel Frič,2015/2016,14.11.2015, SH Čakovice,sobota, Jícha Ondřej, Krupička Jan, PH+SČ třída mužů
6,138158,FBC Penguins Praha,CRPA B Prague Amigos,5,8,Lose,sobota 28.11.2015; SH Gymnázium Sedlčany,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM92015/2016-A052; 5. kolo; PH+SČ třída mužů,"části: 3:2, 1:2, 4:1, střely na branku: 0:0","rozhodčí: Líska Jakub, Tůma Jan",delegát: ,                  Jakub Klement,                       Miroslav Zbořilák,                       Miroslav Zbořilák,2015/2016,28.11.2015, SH Gymnázium Sedlčany,sobota, Líska Jakub, Tůma Jan, PH+SČ třída mužů
7,138161,FBC Penguins Praha,TJ Sokol Dobříš B,5,6,Lose,sobota 28.11.2015; SH Gymnázium Sedlčany,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM92015/2016-A054; 5. kolo; PH+SČ třída mužů,"části: 1:4, 2:1, 2:1, střely na branku: 0:0","rozhodčí: Přibyl Jan, Tůma Jan",delegát: ,                  Jakub Klement,                Vít Bohata,                  Jakub Klement,2015/2016,28.11.2015, SH Gymnázium Sedlčany,sobota, Přibyl Jan, Tůma Jan, PH+SČ třída mužů
8,139413,FBC Penguins Praha,FBC Atomovky,4,10,Win,neděle 13.12.2015; TJ Radlice,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM92015/2016-A068; 6. kolo; PH+SČ třída mužů,"části: 0:4, 3:2, 1:4, střely na branku: 0:0","rozhodčí: Beranová Barbora, Šedová Kristýna",delegát: ,                  Jakub Hruška,                Jakub Šíma,                Jakub Šíma,2015/2016,13.12.2015, TJ Radlice,neděle, Beranová Barbora, Šedová Kristýna, PH+SČ třída mužů
9,139432,FBC Penguins Praha,TJ Kyje,9,12,Win,neděle 13.12.2015; TJ Radlice,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM92015/2016-A072; 6. kolo; PH+SČ třída mužů,"části: 5:2, 3:3, 4:4, střely na branku: 0:0","rozhodčí: Šedová Kristýna, Chuděj Jan",delegát: ,                  Jakub Hruška,                  Martin Chýle,                  Martin Chýle,2015/2016,13.12.2015, TJ Radlice,neděle, Šedová Kristýna, Chuděj Jan, PH+SČ třída mužů
