,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,220771,4 Tomáš Kameník (U),0,0,0,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
1,220771,6 Michal Gajdušek (U),0,0,0,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
2,220771,7 Pavel Vanc (U),2,0,2,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
3,220771,8 Dan Chocholouš (U),0,0,0,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
4,220771,9 Kryštof Polínek (U),0,0,0,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
5,220771,10 Jiří Chochola (U),0,1,1,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
6,220771,11 Ondřej Jilemnický (U),0,2,2,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
7,220771,12 Michal Fuksa (U),0,0,0,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
8,220771,13 Pavel Šmatlák (U),0,1,1,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
9,220771,14 Ondřej Polínek (U),1,0,1,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
10,220771,15 Tomáš Brabec (U),1,0,1,2018/2019,FBC Mobydick Praha,SK Bruisers Dejvice
0,221367,3 Jakub Brajer (U),1,0,1,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
1,221367,4 Lukáš Unger (O),0,1,1,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
2,221367,5 David Šiška (O),0,0,0,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
3,221367,6 Vojtěch Kohout (U),0,1,1,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
4,221367,8 Roman Šebek (U),0,0,0,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
5,221367,9 Vojtěch Paul (U),0,0,0,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
6,221367,11 Tomáš Krejcárek (U),1,2,3,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
7,221367,12 Jakub Brabec (O),0,0,0,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
8,221367,13 Patrik Vršecký (U),0,1,1,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
9,221367,14 Michal Kolář (U),1,0,1,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
10,221367,16 Vít Bohata (U),1,0,1,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
11,221367,17 Tomáš Pavlíček (O),0,0,0,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
12,221367,18 Jakub Dragoun (U),1,0,1,2018/2019,FBC Mobydick Praha,TJ Sokol Dobříš B
0,223045,7 František Novák (O),0,0,0,2018/2019,FBC Mobydick Praha,Prague Tigers E
